z_um,cfw_geom16_exp_1_um,cfw_geom16_exp_2_um,cfw_geom16_exp_4_um,cfw_geom16_exp_8_um,cfw_geom16_exp_16_um,cfw_geom32_exp_1_um,cfw_geom32_exp_2_um,cfw_geom32_exp_4_um,cfw_geom32_exp_8_um,cfw_geom32_exp_16_um
-190.0,0,0,21,20,18,0,0,20,21,18
-180.0,0,0,19,20,19,0,0,20,20,19
-170.0,0,0,18,20,18,0,0,18,20,18
-160.0,0,0,16,19,18,0,0,17,19,18
-150.0,0,0,14,17,17,0,0,14,17,17
-140.0,0,0,11,16,16,0,0,11,16,16
-130.0,0,0,10,15,15,0,0,10,15,15
-120.0,0,0,4,14,14,0,0,6,14,14
-110.0,0,0,0,11,12,0,0,0,11,12
-100.0,0,0,0,9,11,0,0,0,9,11
-90.0,0,0,0,8,7,0,0,0,7,9
-80.0,0,0,0,5,5,0,0,0,5,5
-70.0,0,0,0,3,0,0,0,0,4,1
-60.0,0,0,0,0,5,0,0,0,0,4
-50.0,0,0,0,0,10,0,0,0,0,9
-40.0,0,0,0,0,13,0,0,0,0,13
-30.0,0,0,0,6,17,0,0,0,5,16
-20.0,0,0,0,10,19,0,0,0,9,19
-10.0,0,0,0,14,22,0,0,0,12,22
0.0,0,0,0,16,24,0,0,0,15,24
10.0,0,0,0,18,27,0,0,0,18,27
20.0,0,0,0,20,28,0,0,0,20,28
30.0,0,0,0,23,29,0,0,0,22,30
40.0,0,0,0,26,30,0,0,0,24,31
50.0,0,0,0,26,31,0,0,0,26,31
60.0,0,0,0,28,32,0,0,0,28,33
70.0,0,0,0,29,32,0,0,0,30,33
80.0,0,0,0,30,32,0,0,0,31,33
90.0,0,0,0,30,34,0,0,0,32,33
100.0,0,0,0,29,34,0,0,0,32,33
110.0,0,0,0,29,34,0,0,0,32,34
120.0,0,0,0,28,34,0,0,0,32,35
130.0,0,0,0,28,34,0,0,0,31,35
140.0,0,0,0,28,34,0,0,0,32,35
150.0,0,0,0,28,34,0,0,0,32,35
160.0,0,0,0,29,34,0,0,0,31,35
170.0,0,0,0,29,34,0,0,0,31,36
180.0,0,0,0,29,34,0,0,0,31,36
190.0,0,0,0,29,34,0,0,0,30,36
200.0,0,0,0,29,34,0,0,0,31,36
210.0,0,0,0,28,35,0,0,0,29,36
220.0,0,0,0,28,35,0,0,0,29,36
230.0,0,0,0,28,35,0,0,0,29,36
240.0,0,0,0,27,35,0,0,0,29,37
250.0,0,0,0,27,34,0,0,0,28,37
260.0,0,0,0,26,35,0,0,0,25,37
270.0,0,0,0,25,35,0,0,0,23,37
280.0,0,0,0,25,35,0,0,0,23,37
290.0,0,0,0,25,35,0,0,0,21,37
300.0,0,0,0,24,35,0,0,0,18,37
310.0,0,0,0,24,36,0,0,0,17,36
320.0,0,0,0,23,36,0,0,0,14,36
330.0,0,0,0,23,36,0,0,0,13,37
340.0,0,0,0,21,36,0,0,0,12,37
350.0,0,0,0,20,36,0,0,0,12,37
360.0,0,0,0,20,37,0,0,0,10,37
370.0,0,0,0,18,37,0,0,0,0,37
380.0,0,0,0,1,37,0,0,0,0,37
390.0,0,0,0,0,36,0,0,0,0,38
400.0,0,0,0,0,36,0,0,0,0,38
410.0,0,0,0,0,36,0,0,0,0,38
420.0,0,0,0,0,37,0,0,0,0,37
430.0,0,0,0,0,37,0,0,0,0,37
440.0,0,0,0,0,37,0,0,0,0,37
450.0,0,0,0,0,37,0,0,0,0,37
460.0,0,0,0,0,37,0,0,0,0,37
470.0,0,0,0,0,37,0,0,0,0,37
480.0,0,0,0,0,37,0,0,0,0,36
490.0,0,0,0,0,37,0,0,0,0,36
500.0,0,0,0,0,37,0,0,0,0,36
510.0,0,0,0,0,37,0,0,0,0,36
520.0,0,0,0,0,37,0,0,0,0,36
530.0,0,0,0,0,37,0,0,0,0,35
540.0,0,0,0,0,37,0,0,0,0,35
550.0,0,0,0,0,37,0,0,0,0,35
560.0,0,0,0,0,36,0,0,0,0,34
570.0,0,0,0,0,36,0,0,0,0,35
580.0,0,0,0,0,35,0,0,0,0,35
590.0,0,0,0,0,35,0,0,0,0,35
600.0,0,0,0,0,35,0,0,0,0,35
610.0,0,0,0,0,35,0,0,0,0,34
620.0,0,0,0,0,35,0,0,0,0,34
630.0,0,0,0,0,35,0,0,0,0,34
640.0,0,0,0,0,35,0,0,0,0,34
650.0,0,0,0,0,35,0,0,0,0,34
660.0,0,0,0,0,34,0,0,0,0,33
670.0,0,0,0,0,34,0,0,0,0,33
680.0,0,0,0,0,35,0,0,0,0,33
690.0,0,0,0,0,35,0,0,0,0,31
700.0,0,0,0,0,35,0,0,0,0,30
